"run.profile","parameter","median","lower","upper","Rhat","ESS"
"cenozoic","bivalve.archive_level",3.89027564536005,3.29197121017565,4.48365219366027,1.02355345756936,761.886264860041
"cenozoic","bulk.archive_level",5.05230652167745,4.61076224809462,5.49353159931672,1.02990725392706,679.338606742716
"coupled","d13CO2_sigma",0.0999631108525545,0.0998040536766292,0.0999986049842516,1.00018215542888,24000
"coupled","GMST_sigma",0.499625281935178,0.497945786535391,0.499986206035248,1.00014511807666,23920.245184925
"coupled","BWT_sigma",0.486557844644932,0.441623276097435,0.499520402688273,1.00006258587792,15303.5145997454
"coupled","cc_co2_constant1",12.0595501650483,11.8268755578481,12.224761114398,1.00048188184596,23974.6221470381
"coupled","cc_co2_coeff1",0.139993210173395,0.139964300901358,0.139999763145359,0.999934708671317,24262.1272852915
"coupled","asd",1.01645260819876,0.627040409190159,1.41139480866561,1.00016129999607,23999.9999999999
"coupled","bpump",2.17553784538736,1.5949772565229,2.76161618020709,1.00067630061934,18655.1721559604
"coupled","remin",1.14456997309095,0.635888685892448,1.65114695125552,1.00020793847365,23430.4177255373
"coupled","f_co3",0.00311496785260161,0.000114772616954927,0.0153302487540986,1.00485122547404,482.658337469495
"coupled","f_carbacid",0.0048389196011609,0.000299294394252212,0.0132938896922625,1.00676677609649,983.567850417563
"coupled","Abf",4.33620352436257,3.6707108002996,4.99818726695624,1.00041529504808,17914.0594996132
"coupled","Asurf",1.01645260819876,0.627040409190159,1.41139480866561,1.00016129999607,23999.9999999999
"coupled","d13CO2_level",-6.81528829279261,-7.59772397875927,-5.37156131627798,1.60149172220943,200.037291571321
"coupled","BWT_GMST_beta",0.0104908642711571,0.000400745062384166,0.0528153371098021,0.999981200681109,23432.727662505
"coupled","bf.nsb_mean",0.383222564278824,-0.0646946290480198,0.824315660574134,1.00005157258019,24000.0000000001
"coupled","pf.nsb_mean",-0.573312176880679,-0.881971051564136,-0.26221406986854,0.999959963929038,19875.5954963104
"coupled","brach.nsb_mean",0.298809764773375,-0.00980941873775714,0.60796505118428,1.0002569540809,19952.2568308625
"coupled","bivalve.nsb_mean",-0.55452559233183,-0.864971822770424,-0.242688673183048,1.00024538925018,19654.0153843891
"coupled","amm.nsb_mean",1.84057209252227,1.52104273813354,2.15685339612505,1.00030506645964,19997.3883925736
"coupled","bel.nsb_mean",1.88055995434915,1.57023799971802,2.19143133760412,1.00025046558752,19764.9783656693
"coupled","micrite.nsb_mean",-0.349083783295002,-0.698584190071992,0.000395369690062681,1.00052787940947,16176.9272116437
"coupled","bulk.nsb_mean",0.589900071867308,0.281687016728956,0.897923343488896,1.00023701875218,19649.8183470819
"coupled","bulk_sr.nsb_mean",1.57531585545918,1.1477869997,2.00992676317183,1.00031310645692,17283.2227223318
"coupled","bulk_marg.nsb_mean",0.9311899243865,0.619303285633784,1.24072624674804,1.00037246771441,19568.0176397518
"coupled","bf.nsb_tau",1008441.33419727,953218.487797053,1071960.79144389,1.11607700968619,72.9601031544569
"coupled","pf.nsb_tau",1002938.06695738,942799.230320372,1066410.5512715,1.08182749900944,109.194385963637
"coupled","brach.nsb_tau",996577.981112663,937756.400623923,1067618.25245883,1.03178665416643,126.74699431444
"coupled","bivalve.nsb_tau",1001681.81016076,938908.51158452,1060698.3426695,1.10719423890118,142.668259961067
"coupled","amm.nsb_tau",1005105.02425038,933652.854149169,1064253.15770262,1.01789087362266,276.023441791477
"coupled","bel.nsb_tau",995944.276915201,942781.525847826,1060093.15320979,1.12075872460267,63.6172386563163
"coupled","micrite.nsb_tau",1002735.24168447,942529.580469152,1069797.22815765,1.04541325045142,121.177519977438
"coupled","bulk.nsb_tau",998842.287923363,943344.764260571,1062264.81419346,1.0295121197102,207.313772887044
"coupled","bulk_sr.nsb_tau",1000628.94763927,940604.678049942,1058185.81745732,1.03888775913326,130.119984483847
"coupled","bulk_marg.nsb_tau",1000883.20102482,939944.415692365,1059871.00843065,1.02565135190595,168.914045993849
"coupled","bf.archive_level",-11.5569885702296,-12.0669113617294,-10.1245613707636,1.95448468790654,42.9758910045435
"coupled","pf.archive_level",4.76834027334408,4.29306009079027,6.17641688305878,2.00443638253384,22.1778869526398
"coupled","brach.archive_level",3.8933019448401,3.43061823266584,5.30465457427075,2.00048438289912,29.7179752933852
"coupled","bivalve.archive_level",4.74563267147683,4.28055415242671,6.15732389996533,1.99825682399843,31.1083653805935
"coupled","amm.archive_level",2.35128658330699,1.87301735052656,3.75979545727711,1.98243542448408,31.6956870908848
"coupled","bel.archive_level",2.31001171394035,1.84582888635898,3.72370046107768,1.99887416528785,30.0403706715693
"coupled","micrite.archive_level",4.545456324786,3.95761916124076,5.95907421632981,1.80323851734164,90.9861898918261
"coupled","bulk.archive_level",3.60153115594789,3.13997515111076,5.01255501357523,2.00112158445703,28.0899982137207
"coupled","bulk_sr.archive_level",2.62245160587795,2.02910300153075,4.0280399067935,1.78742005117147,76.0310537719186
"coupled","bulk_marg.archive_level",3.26289286457099,2.79695217094691,4.66951595436289,1.99685234230384,28.3764009680125
